attendance_pct,trend,consistency,attentiveness,total_present,total_sessions,total_absent,reason_medical,reason_family,reason_academic,reason_sports,reason_internship,outcome
85.0,improving,high,Medium,34,40,6,1,2,0,1,0,passed
81.0,stable,medium,Medium,34,42,8,1,0,1,1,3,passed
81.0,improving,high,Low,34,42,8,0,0,0,3,1,passed
70.0,declining,low,Medium,28,40,12,3,3,0,1,0,failed
95.0,improving,high,High,38,40,2,0,0,0,2,1,passed
68.9,improving,medium,High,31,45,14,0,1,1,0,1,passed
88.9,declining,low,Low,40,45,5,5,3,0,0,0,failed
75.6,declining,medium,Medium,34,45,11,0,0,3,2,0,passed
78.6,stable,high,Medium,33,42,9,2,0,0,6,1,passed
90.0,declining,high,High,36,40,4,1,1,1,2,1,passed
93.3,declining,high,Low,42,45,3,3,1,0,0,0,failed
66.7,improving,medium,High,32,48,16,3,1,1,0,1,passed
84.0,improving,medium,High,42,50,8,2,1,0,1,0,passed
82.2,declining,low,Medium,37,45,8,5,4,0,0,0,failed
66.0,improving,low,Low,33,50,17,1,3,0,0,0,failed
85.7,improving,medium,High,36,42,6,2,0,0,0,0,passed
68.0,improving,high,High,34,50,16,0,2,3,0,0,passed
77.1,improving,low,Medium,37,48,11,1,1,3,0,0,passed
79.2,improving,low,High,38,48,10,1,1,0,3,2,passed
80.0,improving,high,High,32,40,8,0,0,4,1,3,passed
72.0,improving,high,High,36,50,14,0,1,0,1,1,passed
87.5,improving,high,High,42,48,6,2,1,0,2,2,passed
64.0,declining,medium,Medium,32,50,18,0,2,0,0,0,failed
83.3,declining,high,Low,40,48,8,0,0,2,2,0,passed
75.0,declining,low,High,30,40,10,0,2,0,0,0,failed
80.0,improving,medium,High,36,45,9,0,1,0,1,4,passed
82.5,improving,high,Low,33,40,7,2,2,1,0,2,passed
71.1,declining,low,High,32,45,13,4,1,0,2,0,failed
80.0,declining,medium,Medium,32,40,8,1,1,0,1,0,failed
80.0,declining,medium,Low,36,45,9,1,0,1,0,0,failed
75.0,improving,high,High,36,48,12,2,2,1,3,1,passed
73.8,improving,high,Low,31,42,11,3,0,1,2,2,passed
82.2,declining,high,Medium,37,45,8,0,2,3,5,2,passed
64.6,stable,high,Medium,31,48,17,2,2,3,1,2,passed
57.5,improving,low,Medium,23,40,17,6,1,1,1,0,failed
76.2,improving,high,Medium,32,42,10,0,1,2,3,0,passed
80.0,declining,high,Low,32,40,8,0,0,1,3,0,passed
96.0,stable,low,Medium,48,50,2,0,1,0,1,0,failed
81.0,improving,medium,High,34,42,8,0,1,2,1,0,passed
66.7,improving,high,High,32,48,16,1,0,2,0,1,passed
